ProductId|category|subcategory|procuredValue|minMargin|maxMargin|SellerID|lastModified
82545658|187|1871429|373.58|23.14|35.27|9006|2017-04-27 15:45:04
43157024|177|1771787|1272.39|9.92|18.59|9007|2017-04-30 16:10:54
35322634|184|1841299|3881.78|23.39|45.13|9022|2017-05-10 15:39:33
36130457|160|1601138|890.75|5.62|28.86|9023|2017-04-28 15:58:58
63786748|193|1931662|2073.70|6.36|17.88|9002|2017-05-07 15:51:20
46552678|184|1841527|1120.78|22.69|26.34|9004|2017-05-10 15:50:16
45442374|143|1431984|2441.16|24.09|26.39|9009|2017-05-01 16:10:05
16171200|119|1191284|4431.40|13.34|38.00|9008|2017-04-29 15:57:40
51435751|173|1731304|352.70|3.83|20.13|9006|2017-05-07 15:51:01
20781213|171|1711997|772.46|4.02|5.60|9007|2017-04-30 15:40:02
41835146|135|1351494|2786.89|11.34|34.25|9017|2017-05-05 15:51:34
58876052|198|1981432|2391.38|11.56|28.16|9011|2017-05-01 16:05:31
16525443|173|1731910|348.81|11.75|22.34|9029|2017-05-05 15:45:51
83844043|114|1141429|899.32|14.34|37.82|9020|2017-04-28 15:56:47
65737403|149|1491671|1469.69|9.03|31.44|9025|2017-04-28 15:49:36
51386265|102|1021104|3285.76|11.19|32.27|9002|2017-05-08 16:01:21
48731004|140|1401138|2906.65|1.54|22.53|9028|2017-05-01 15:53:23
45088454|198|1981639|255.65|5.97|16.80|9015|2017-05-04 15:49:09
56504866|177|1771346|1910.75|10.80|18.12|9017|2017-05-08 16:09:07
81273185|185|1851529|1444.34|9.87|19.19|9029|2017-04-27 16:02:33
38060562|139|1391244|1708.62|0.60|23.10|9028|2017-05-06 16:03:29
30254830|118|1181555|4122.59|23.47|25.82|9023|2017-04-28 15:54:55
76161074|100|1001650|4811.35|11.98|29.65|9024|2017-05-08 15:44:15
88824453|185|1851752|2013.32|10.09|22.17|9022|2017-05-06 15:47:51
12631384|169|1691871|3520.64|16.44|29.16|9018|2017-05-11 15:37:54
62057556|104|1041736|2831.66|16.23|40.93|9027|2017-05-04 16:11:40
23465610|121|1211426|4319.80|23.83|32.86|9028|2017-05-11 15:43:52
24675300|148|1481303|4360.62|10.01|18.44|9019|2017-05-08 15:43:46
18023802|185|1851274|4417.63|10.20|24.59|9018|2017-04-29 15:59:50
77230843|135|1351082|973.02|8.45|12.94|9003|2017-05-10 15:47:06
51172861|181|1811335|3936.69|24.44|33.05|9024|2017-05-01 15:50:28
68500861|135|1351226|2891.48|12.51|30.70|9022|2017-04-28 15:48:01
53238866|108|1081835|4311.71|20.42|22.91|9007|2017-05-03 15:37:11
14318153|118|1181658|3484.84|2.80|8.34|9013|2017-04-27 16:05:52
45338037|174|1741622|675.29|19.96|43.56|9014|2017-05-03 15:38:00
31602725|102|1021199|3074.81|18.71|37.99|9002|2017-04-29 15:55:08
88837774|126|1261887|2970.54|12.99|25.63|9007|2017-05-08 15:50:57
80224366|127|1271974|3067.36|11.98|33.98|9009|2017-05-04 15:59:06
43814732|119|1191725|4436.64|2.09|14.18|9028|2017-04-30 15:48:33
23830201|182|1821624|4430.76|18.63|18.91|9005|2017-05-09 15:50:25
32017046|125|1251469|2983.82|14.03|36.64|9001|2017-05-02 16:06:48
18112530|149|1491230|4268.41|17.32|32.62|9012|2017-04-27 15:47:10
26315476|149|1491162|1907.26|18.11|38.71|9008|2017-04-27 16:08:14
37226432|138|1381978|1336.82|11.24|26.18|9025|2017-05-05 16:00:58
26315478|131|1311742|3812.55|18.53|25.89|9025|2017-05-10 15:55:12
81652365|136|1361858|3146.88|19.72|40.12|9012|2017-04-27 15:36:40
52874418|150|1501343|542.34|18.05|40.67|9019|2017-05-01 16:09:28
46173480|150|1501305|1771.99|5.25|11.08|9023|2017-05-08 16:01:26
28486566|132|1321374|1138.66|9.17|10.88|9009|2017-04-27 15:50:51
32385038|137|1371370|2636.22|1.63|16.94|9022|2017-05-05 15:45:10
17321262|144|1441122|3358.58|9.72|19.81|9026|2017-05-07 15:43:55
72341783|175|1751544|3538.04|20.71|27.11|9009|2017-05-10 15:45:18
18532263|160|1601189|2222.16|17.07|28.76|9009|2017-04-28 15:46:00
72213466|146|1461703|2602.44|8.48|29.72|9021|2017-05-05 15:44:55
13512677|124|1241028|4327.90|11.57|30.02|9029|2017-05-03 16:06:03
88168045|164|1641451|2071.46|3.83|20.94|9018|2017-05-01 15:59:34
76072348|101|1011940|868.00|8.33|31.05|9019|2017-05-07 15:56:53
67365051|144|1441399|119.06|9.61|14.56|9028|2017-04-27 15:50:27
83844064|151|1511254|2137.27|20.67|27.07|9016|2017-05-08 15:47:12
