SellerID|type|netValue|since|userRating|LastSold|category
9001|Institutional|High|25-Jul-2014|1.3|2017-03-29 16:02:25|124
9002|inHouse|Low|02-Jul-2014|4.1|2017-02-15 15:59:50|162
9003|Premium|Impactful|07-Apr-2013|0.8|2017-04-12 16:10:31|130
9004|Premium|Impactful|07-Dec-2016|4.3|2017-02-17 15:52:29|142
9005|ChannelPartner|VeryHigh|07-Feb-2017|4.0|2017-04-22 15:56:58|133
9006|Affiliate|Unclassified|02-May-2015|1.1|2017-04-16 16:07:42|103
9007|Affiliate|Impactful|06-May-2016|3.7|2017-03-21 16:00:18|102
9008|Brand|Low|18-Mar-2016|1.8|2017-04-08 15:57:10|150
9009|ChannelPartner|Low|24-Nov-2014|1.0|2017-03-31 16:06:43|159
9010|Institutional|Medium|24-Oct-2015|2.4|2017-04-16 16:06:32|172
9011|Brand|VeryHigh|01-May-2016|2.7|2017-03-06 15:56:35|147
9012|inHouse|Low|21-Aug-2014|3.3|2017-02-12 15:41:58|170
9013|Affiliate|High|04-Dec-2013|4.3|2017-04-24 15:48:09|156
9014|Retailer|Impactful|20-Aug-2013|1.8|2017-04-08 15:52:30|178
9015|ChannelPartner|VeryHigh|06-Apr-2017|2.7|2017-04-25 15:49:13|132
9016|Affiliate|Unclassified|17-Sep-2013|4.4|2017-05-07 16:09:20|163
9017|inHouse|High|19-Feb-2014|0.6000000000000001|2017-03-11 15:50:43|101
9018|Brand|High|17-Nov-2013|0.4|2017-04-30 15:35:54|178
9019|Premium|Unclassified|10-Oct-2015|3.7|2017-04-06 15:56:05|113
9020|Affiliate|Unclassified|19-Jul-2016|2.4|2017-03-23 15:45:36|154
9021|Premium|Low|27-Apr-2017|4.3|2017-02-17 16:10:13|113
9022|Affiliate|Impactful|05-Apr-2016|2.7|2017-03-03 16:10:22|122
9023|Unclassified|Low|03-Aug-2013|2.2|2017-05-09 15:54:32|186
9024|inHouse|High|01-Aug-2016|2.3|2017-03-08 15:36:50|161
9025|Retailer|VeryHigh|29-Nov-2013|3.8|2017-04-24 15:48:27|106
9026|inHouse|Medium|29-Nov-2014|4.3|2017-03-07 15:39:34|152
9027|Premium|Medium|12-Oct-2015|2.7|2017-04-03 15:37:00|101
9028|ChannelPartner|Impactful|13-Dec-2014|1.6|2017-02-20 15:49:12|156
9029|MultiBrand|Unclassified|06-Aug-2015|3.1|2017-02-27 15:53:34|184
9030|Brand|Impactful|04-Dec-2016|3.0|2017-04-24 15:40:35|134
9031|Brand|Unclassified|07-Apr-2016|4.0|2017-03-24 15:45:59|171
9032|Premium|Medium|17-Oct-2016|3.2|2017-04-17 15:38:42|198
9033|Retailer|Medium|11-Jul-2015|1.6|2017-02-14 15:50:45|120
9034|inHouse|Low|20-Feb-2015|0.4|2017-03-28 15:40:06|145
9035|Retailer|Low|06-Nov-2014|0.4|2017-02-21 16:05:59|155
9036|inHouse|Unclassified|07-Nov-2016|4.2|2017-04-13 15:45:44|175
9037|MultiBrand|High|23-Jun-2015|1.1|2017-02-12 15:49:27|169
9038|Brand|Low|08-Jul-2015|1.4|2017-02-28 15:40:05|123
9039|Affiliate|Impactful|23-Apr-2014|0.5|2017-04-13 15:40:51|100
9040|MultiBrand|Unclassified|04-Jul-2015|3.2|2017-04-27 15:40:59|121
9041|inHouse|Unclassified|01-Jun-2014|3.5|2017-02-18 15:57:40|107
9042|Affiliate|Unclassified|05-Mar-2017|4.1|2017-04-01 16:06:35|127
9043|Affiliate|VeryHigh|25-May-2015|1.4|2017-03-07 15:54:00|162
9044|inHouse|Impactful|06-Jun-2014|4.7|2017-05-06 15:53:21|114
9045|Premium|Low|05-Aug-2013|1.7000000000000002|2017-04-06 16:05:30|110
9046|ChannelPartner|Unclassified|27-Nov-2015|0.4|2017-04-15 15:43:24|126
9047|Retailer|Unclassified|08-Aug-2015|0.6000000000000001|2017-03-15 15:38:05|188
9048|MultiBrand|Low|05-Oct-2016|4.6|2017-02-28 15:56:14|162
9049|Unclassified|High|02-Sep-2014|2.2|2017-03-20 16:03:56|118
9050|Retailer|VeryHigh|28-Apr-2014|3.0|2017-04-16 15:56:43|121
9051|Brand|VeryHigh|14-Nov-2014|0.30000000000000004|2017-03-31 15:58:27|195
9052|MultiBrand|Low|27-Jul-2013|1.0|2017-03-04 15:56:11|152
9053|ChannelPartner|Medium|09-Feb-2014|1.4|2017-04-26 15:55:26|194
9054|Retailer|VeryHigh|29-Nov-2013|4.2|2017-03-31 15:48:18|145
9055|Affiliate|Medium|26-Feb-2017|2.1|2017-04-10 15:43:55|145
9056|MultiBrand|Medium|28-Jan-2014|1.0|2017-05-03 15:47:35|139
9057|inHouse|High|14-Nov-2014|4.0|2017-04-28 15:55:12|156
9058|Premium|Impactful|21-Aug-2015|2.0|2017-04-13 15:54:14|188
9059|Affiliate|High|15-Sep-2015|1.2|2017-03-25 16:07:07|106
9060|Institutional|Low|24-Jun-2014|0.0|2017-03-26 15:45:35|117
9061|Unclassified|High|12-Jul-2014|4.0|2017-04-19 16:12:06|127
9062|Retailer|Low|13-Nov-2014|2.4|2017-04-30 16:10:21|167
9063|inHouse|VeryHigh|09-Aug-2015|4.6|2017-04-25 16:12:08|108
9064|Premium|Unclassified|29-Apr-2015|2.1|2017-02-11 15:52:54|150
9065|Unclassified|Unclassified|14-Mar-2014|4.6|2017-04-22 16:05:48|116
9066|MultiBrand|VeryHigh|25-Apr-2015|0.1|2017-02-18 16:06:23|125
