StudentId|QusetionSet|QT|VB|RA|QuestionAttempted|AttemptDate
125047|tt503|6|22|19|41|2017-05-11
127292|tt503|8|25|25|46|2017-05-11
167139|tt503|15|3|20|38|2017-05-11
131298|tt503|23|4|13|48|2017-05-11
83808|tt503|25|6|21|44|2017-05-11
93223|tt503|-6|5|12|49|2017-05-11
93727|tt503|24|26|22|44|2017-05-11
77598|tt503|4|10|26|44|2017-05-11
106442|tt503|-2|18|21|47|2017-05-11
81733|tt503|4|27|-1|54|2017-05-11
105032|tt503|17|9|0|46|2017-05-11
95773|tt503|25|15|25|47|2017-05-11
144092|tt503|7|24|19|42|2017-05-11
93422|tt503|13|10|19|42|2017-05-11
152056|tt503|20|-1|24|45|2017-05-11
137786|tt503|2|11|37|38|2017-05-11
89161|tt503|10|5|20|37|2017-05-11
161182|tt503|14|15|21|46|2017-05-11
130180|tt503|16|11|15|50|2017-05-11
109912|tt503|18|18|4|48|2017-05-11
70709|tt503|15|10|24|51|2017-05-11
160710|tt503|11|28|10|43|2017-05-11
110576|tt503|21|11|6|38|2017-05-11
110519|tt503|20|12|5|47|2017-05-11
152107|tt503|7|14|33|58|2017-05-11
76876|tt503|11|-2|24|39|2017-05-11
95788|tt503|8|13|2|49|2017-05-11
113812|tt503|22|14|3|45|2017-05-11
129694|tt503|8|0|25|39|2017-05-11
77288|tt503|9|36|19|48|2017-05-11
107562|tt503|5|14|15|50|2017-05-11
160654|tt503|25|15|17|39|2017-05-11
147756|tt503|14|24|6|48|2017-05-11
98845|tt503|26|11|17|46|2017-05-11
95193|tt503|26|6|6|46|2017-05-11
160420|tt503|23|9|19|49|2017-05-11
100133|tt503|-5|18|5|46|2017-05-11
89360|tt503|6|9|19|42|2017-05-11
134912|tt503|13|13|23|47|2017-05-11
169219|tt503|14|12|21|41|2017-05-11
125120|tt503|11|22|7|44|2017-05-11
100708|tt503|6|12|12|46|2017-05-11
83631|tt503|12|27|28|57|2017-05-11
104468|tt503|8|9|12|47|2017-05-11
90237|tt503|11|14|17|42|2017-05-11
100244|tt503|19|19|20|46|2017-05-11
156850|tt503|35|18|22|53|2017-05-11
78316|tt503|-3|23|13|47|2017-05-11
163564|tt503|16|12|9|39|2017-05-11
73553|tt503|13|21|23|47|2017-05-11
83973|tt503|12|12|12|36|2017-05-11
104584|tt503|10|27|21|46|2017-05-11
91229|tt503|9|15|-2|42|2017-05-11
79908|tt503|18|16|11|51|2017-05-11
103587|tt503|6|37|14|35|2017-05-11
117419|tt503|14|22|18|46|2017-05-11
89980|tt503|10|24|14|48|2017-05-11
143353|tt503|25|22|10|51|2017-05-11
89426|tt503|-3|30|25|48|2017-05-11
169133|tt503|11|24|37|44|2017-05-11
72504|tt503|17|8|29|46|2017-05-11
71328|tt503|4|20|33|39|2017-05-11
93892|tt503|11|22|6|45|2017-05-11
74776|tt503|4|14|0|38|2017-05-11
100170|tt503|11|5|15|45|2017-05-11
139851|tt503|17|20|14|53|2017-05-11
73295|tt503|6|6|30|50|2017-05-11
82927|tt503|3|5|12|48|2017-05-11
133306|tt503|9|25|9|45|2017-05-11
145059|tt503|9|28|20|47|2017-05-11
116165|tt503|14|9|24|49|2017-05-11
97022|tt503|8|14|26|40|2017-05-11
87167|tt503|17|4|21|50|2017-05-11
146199|tt503|20|11|9|44|2017-05-11
108010|tt503|15|5|15|41|2017-05-11
82062|tt503|16|15|20|45|2017-05-11
129642|tt503|-7|6|17|44|2017-05-11
169939|tt503|16|-3|12|47|2017-05-11
117149|tt503|23|13|14|46|2017-05-11
83364|tt503|12|26|16|46|2017-05-11
152041|tt503|10|2|17|51|2017-05-11
142631|tt503|17|12|28|51|2017-05-11
105064|tt503|24|9|36|51|2017-05-11
90623|tt503|7|7|25|53|2017-05-11
91490|tt503|6|7|12|43|2017-05-11
99600|tt503|22|13|4|41|2017-05-11
95841|tt503|5|40|8|47|2017-05-11
75101|tt503|4|9|12|43|2017-05-11
157789|tt503|13|24|6|41|2017-05-11
167744|tt503|6|25|16|45|2017-05-11
155865|tt503|0|20|41|51|2017-05-11
77236|tt503|18|12|9|45|2017-05-11
127429|tt503|10|15|23|44|2017-05-11
141956|tt503|26|16|18|44|2017-05-11
76992|tt503|12|11|33|40|2017-05-11
79754|tt503|17|1|17|49|2017-05-11
157891|tt503|7|39|16|46|2017-05-11
116341|tt503|7|14|11|40|2017-05-11
162137|tt503|27|22|16|51|2017-05-11
104786|tt503|12|7|21|40|2017-05-11
157778|tt503|16|15|22|43|2017-05-11
107164|tt503|21|11|12|44|2017-05-11
121221|tt503|-2|19|23|36|2017-05-11
162626|tt503|12|25|18|53|2017-05-11
85948|tt503|20|23|15|50|2017-05-11
145015|tt503|0|30|4|38|2017-05-11
121219|tt503|5|27|6|42|2017-05-11
137746|tt503|18|2|16|52|2017-05-11
150325|tt503|10|27|8|43|2017-05-11
90166|tt503|16|2|13|41|2017-05-11
132971|tt503|18|20|14|48|2017-05-11
141785|tt503|4|25|14|41|2017-05-11
132624|tt503|13|21|24|42|2017-05-11
117828|tt503|15|34|7|40|2017-05-11
168725|tt503|10|16|33|45|2017-05-11
97097|tt503|3|13|15|41|2017-05-11
95469|tt503|19|24|6|43|2017-05-11
102567|tt503|23|21|23|49|2017-05-11
83189|tt503|20|23|23|46|2017-05-11
155009|tt503|4|19|17|44|2017-05-11
167677|tt503|16|17|16|47|2017-05-11
120797|tt503|7|18|17|46|2017-05-11
95434|tt503|13|21|13|41|2017-05-11
114420|tt503|8|20|22|42|2017-05-11
164624|tt503|2|25|13|40|2017-05-11
148073|tt503|7|24|29|40|2017-05-11
158353|tt503|8|27|3|42|2017-05-11
117538|tt503|17|16|19|48|2017-05-11
132068|tt503|7|14|6|41|2017-05-11
154594|tt503|6|14|14|54|2017-05-11
76608|tt503|11|21|18|42|2017-05-11
110242|tt503|25|17|23|39|2017-05-11
133508|tt503|27|24|39|46|2017-05-11
160580|tt503|8|14|19|43|2017-05-11
113193|tt503|16|16|29|47|2017-05-11
153056|tt503|12|10|31|47|2017-05-11
119660|tt503|24|22|32|42|2017-05-11
139080|tt503|12|26|7|39|2017-05-11
107354|tt503|2|29|21|48|2017-05-11
133220|tt503|7|11|19|39|2017-05-11
115523|tt503|13|14|14|51|2017-05-11
129406|tt503|6|26|17|51|2017-05-11
98705|tt503|0|13|25|42|2017-05-11
133820|tt503|23|23|12|46|2017-05-11
125146|tt503|18|13|8|45|2017-05-11
123743|tt503|17|42|19|58|2017-05-11
146505|tt503|12|20|20|48|2017-05-11
92581|tt503|12|9|23|48|2017-05-11
129736|tt503|15|32|30|47|2017-05-11
157361|tt503|11|10|6|53|2017-05-11
137086|tt503|9|11|7|45|2017-05-11
100583|tt503|12|8|19|41|2017-05-11
153980|tt503|12|28|18|38|2017-05-11
130837|tt503|8|17|9|54|2017-05-11
135321|tt503|15|17|16|44|2017-05-11
162075|tt503|15|29|7|49|2017-05-11
70452|tt503|-1|6|10|41|2017-05-11
157250|tt503|11|25|6|42|2017-05-11
89872|tt503|10|-6|10|42|2017-05-11
89636|tt503|8|18|22|44|2017-05-11
99117|tt503|13|10|25|44|2017-05-11
136205|tt503|3|10|40|55|2017-05-11
106123|tt503|8|19|26|47|2017-05-11
128478|tt503|6|9|15|46|2017-05-11
157288|tt503|28|15|24|45|2017-05-11
114594|tt503|30|14|10|42|2017-05-11
71683|tt503|18|5|17|44|2017-05-11
133312|tt503|15|10|25|42|2017-05-11
140358|tt503|19|29|20|48|2017-05-11
80793|tt503|8|15|19|38|2017-05-11
97447|tt503|5|18|16|45|2017-05-11
166450|tt503|10|15|23|44|2017-05-11
144714|tt503|13|19|17|39|2017-05-11
146775|tt503|14|2|17|43|2017-05-11
140847|tt503|11|13|0|48|2017-05-11
100580|tt503|22|23|29|54|2017-05-11
97063|tt503|31|16|14|47|2017-05-11
147367|tt503|8|23|21|36|2017-05-11
123990|tt503|15|5|-10|38|2017-05-11
100361|tt503|7|29|20|48|2017-05-11
166449|tt503|23|4|20|41|2017-05-11
159092|tt503|2|2|12|32|2017-05-11
121730|tt503|10|18|28|48|2017-05-11
83122|tt503|15|1|19|49|2017-05-11
157117|tt503|10|19|18|45|2017-05-11
136190|tt503|26|17|28|49|2017-05-11
162017|tt503|12|18|17|41|2017-05-11
148864|tt503|16|25|29|50|2017-05-11
160033|tt503|15|36|13|52|2017-05-11
